"sitecode","nazev_predmetu","feature_code","rozloha_ha","rozloha_procent","stav_text","source_file"
"CZ0314124","Níinné a horské vodní toky s vegetací svazù Ranunculion fluitantis","3260",108.2021,0.49,"Zachovat stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","Panonské skalní trávníky (Stipo-Festucetalia pallentis)","6190",1.6802,0.01,"Zachovat stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","Polopøirozené suché trávníky a facie køovin na vápnitıch podloích","6210",4.4426,0.02,"Zachovat stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","Polopøirozené suché trávníky a facie køovin na vápnitıch podloích","6210",22.6761,0.1,"Zachovat stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","Bezkolencové louky na vápnitıch, rašelinnıch nebo hlinito-jílovitıch pùdách","6410",72.8836,0.33,"V druhovì bohatıch porostech je cílem zachovat jejich stav z doby vyhlášení EVL. V degradovanıch partiích
bezkolencovıch luk je tøeba managementovımi opatøeními jejich souèasnı stav zlepšit alespoò na úroveò
v dobì vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124",NA,"6510",425.0949,1.91,"Zachovat dobrı stav druhovì bohatıch luk z doby vyhlášení EVL. U porostù negativnì ovlivnìnıch pøíliš
intenzivním zemìdìlskım hospodaøením a porostù degradovanıch vlivem dlouhodobé absence hospodaøení je
cílem jejich stav zlepšit alespoò na úroveò v dobì vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","Chasmofytická vegetace silikátovıch skalnatıch svahù","8220",6.6108,0.03,"Zachovat stav z doby vyhlášení EVL.","sdo_2632_2017_0000.pdf"
"CZ0314124","Lesostepní bory","91",22.4125,0.1,"Souèasné mapování neodpovídá reálnému vıskytu lesostepních borù. Jako pøedmìt ochrany L8.2 –
Lesostepní bory byly klasifikovány pøedevším porosty nacházející se na území mezi Èeskım Krumlovem,
Køenovem a úpatím hory Kle. Dnes je vìtšina porostù cennıch borù na vápencích i pøes dominanci borovice
pøeklasifikována na biotop L6.4.
Cílem je zachovat charakter prosvìtlenıch porostù s pøevahou borovice a pøimíšenımi dalšími døevinami,
s charakteristickım bylinnım patrem. Moné a vhodné je i vytváøení porostních skupin s pøevahou dubu – èást
území, mapovaného jako lesostepní bory, byla takto vymapována v dùsledku druhotné dominance borovice,
a pøirozenou dominantní slokou ekosystému zde mùe bıt i jiná døevina (obvykle dub, ale v nìkterıch
pøípadech i buk). Podstatnım faktorem pøíznivého stavu pøedmìtu ochrany je však pøedevším zachování
charakteru prosvìtlenıch lesù, a u s dominancí borovice nebo dubu.","sdo_2632_2017_0000.pdf"
"CZ0314124","Buèiny asociace Luzulo-Fagetum","9110",1673.0257,7.53,"Zachovat stav pøírodì blízkıch porostù z doby vyhlášení EVL. Vhodnımi pìstebními opatøeními postupnì
zlepšovat stav hospodáøsky ovlivnìnıch porostù s pozmìnìnou druhovou skladbou a zjednodušenou
prostorovou strukturou oproti stavu pøi vyhlášení.","sdo_2632_2017_0000.pdf"
"CZ0314124","Buèiny asociace Asperulo-Fagetum","9130",1447.2975,6.52,"Zachovat stav pøírodì blízkıch porostù z doby vyhlášení EVL. Vhodnımi pìstebními opatøeními postupnì
zlepšovat stav hospodáøsky ovlivnìnıch porostù s pozmìnìnou druhovou skladbou a zjednodušenou
prostorovou strukturou oproti stavu pøi vyhlášení.","sdo_2632_2017_0000.pdf"
"CZ0314124","Dubohabøiny asociace Galio-Carpinetum","9170",105.3312,0.47,"Zachovat stav pøírodì blízkıch porostù z doby vyhlášení EVL. Vhodnımi pìstebními opatøeními postupnì
zlepšovat stav hospodáøsky ovlivnìnıch porostù s pozmìnìnou druhovou skladbou a zjednodušenou
prostorovou strukturou oproti stavu pøi vyhlášení.","sdo_2632_2017_0000.pdf"
"CZ0314124","Lesy svazu Tilio-Acerion na svazích, sutích a v roklích","9180",128.9338,0.58,"Zachovat stav pøírodì blízkıch porostù z doby vyhlášení EVL. Vhodnımi pìstebními opatøeními postupnì
zlepšovat stav hospodáøsky ovlivnìnıch porostù s pozmìnìnou druhovou skladbou a zjednodušenou
prostorovou strukturou oproti stavu pøi vyhlášení.
* oznaèuje prioritní stanovištì","sdo_2632_2017_0000.pdf"
"CZ0724089","Alpínské øeky a bylinná vegetace podél jejich bøehù","3220",0.003,0,"Zachovat rozlohu stanovištì a zlepšit jeho stav. Stav pøedmìtu ochrany pøi zaøazení EVL do Evropského
seznamu byl chybnì uveden a neodpovídá skuteènosti pøi vyhlášení. Skuteènı stav pøi vyhlášení byl
„vıznamná hodnota“ a tento stav je tøeba zlepšit. Cílovı stav stanovištì je pøedstavován štìrkovımi náplavy
s druhovì chudou vegetací iniciálních stadií bylinné vegetace (napø. s druhy Epilobium dodonaei nebo
Equisetum variegatum) a vegetace s tøtinou pobøení. S vhodnımi hydrogeomorfologickımi vlastnostmi toku.
Bez pøítomnosti invazních a expanzivních druhù. V souèasné dobì je stanovištì degradováno pøedevším
nevhodnımi vodohospodáøskımi úpravami.","SDO_3313_2021_0000.pdf"
"CZ0724089","Alpínské øeky a jejich døevinná vegetace s vrbou šedou (Salix elaeagnos)","3240",11.4821,0.01,"Zachovat rozlohu a zlepšit stav pøedmìtu ochrany na úroveò z doby vyhlášení EVL. Jde pøedevším o ochranu
pøirozenıch hydrogeomorfologickıch vlastností vodních tokù nezbytnıch pro existenci a obnovu štìrkovıch
náplavù s rùznì zapojenou køovinnou vegetací s vrbami Salix elaeagnos, S. purpurea a vzácnì S. daphnoides.
Bez pøítomnosti invazních a expanzivních druhù. V souèasné dobì je stanovištì degradováno pøedevším
nevhodnımi vodohospodáøskımi úpravami.","SDO_3313_2021_0000.pdf"
"CZ0724089","Formace jalovce obecného (Juniperus communis) na vøesovištích nebo","5130",10.9011,0.01,"Zachovat rozlohu a zlepšit stav pøedmìtu ochrany na úroveò z doby vyhlášení EVL pomocí pravidelného
managementu.
U biotopu Širokolisté suché trávníky bez vıznaèného vıskytu vstavaèovitıch a s jalovcem obecnım (Juniperus
communis) zachovat zapojené a mezernaté druhovì bohaté trávníky s dominancí váleèky prapoøité
(Brachypodium pinnatum), s vìtším mnostvím širokolistıch vytrvalıch bylin, kde se velmi vzácnì vyskytuje
sveøep vzpøímenı (Bromus erectus). Vıraznì je zde zastoupen jalovec obecnı a dále druhy èeledi
Orchidaceae, zejména vstavaè muskı (Orchis mascula), prstnatec bezovı (Dactylorhiza sambucina) a
vemeník dvoulistı (Platanthera bifolia).
U biotopu Sekundární podhorská a horská vøesovištì s vıskytem jalovce obecného (Juniperus communis)je
cílovı stav pøedstavován porosty s dominantou vøesu obecného a brusnice borùvky (Vaccinium myrtillus) nebo
místy s b. brusinky (V. vitis-idaea). S pøítomností jalovce obecného a bez pøítomnosti invazních a expanzivních
druhù.
Stanovištì cílového stavu nedosahuje, pomístnì je degradováno zejm. zárustem a zmìnou vegetaèního
sloení, co je dùsledkem upuštìní od vhodného zpùsobu obhospodaøování.","SDO_3313_2021_0000.pdf"
"CZ0724089","Polopøirozené suché trávníky a facie køovin na vápnitıch podloích (Festuco-","6210",13.8645,0.01,"Zachovat rozlohu a zlepšit stav pøedmìtu ochrany na úroveò z doby vyhlášení EVL pomocí vhodného
managementu.
Jedná se o zapojené a mezernaté trávníky s dominancí váleèky prapoøité, jen velmi vzácnì sveøepu
vzpøímeného. Jsou to druhovì bohaté porosty, s vìtším mnostvím širokolistıch vytrvalıch bylin. Ovsík
vyvıšenı (Arrhenatherum elatius) mùe bıt pouze pøimísen, bez pøítomnosti invazních a expanzivních druhù.
Stanovištì cílového stavu nedosahuje, pomístnì je degradováno zejm. zárustem a zmìnou vegetaèního
sloení, co je dùsledkem upuštìní od vhodného zpùsobu obhospodaøování.","SDO_3313_2021_0000.pdf"
"CZ0724089","Druhovì bohaté smilkové louky na silikátovıch podloích v horskıch oblastech","6230",647.6183,0.54,"Zachovat rozlohu a zlepšit stav pøedmìtu ochrany na úroveò z doby vyhlášení EVL pomocí vhodného
managementu. Horské a podhorské louky s dominancí smilky tuhé (Nardus stricta) a s dalšími druhy trav jako
kostøava èervená (Festuca rubra agg.) a psineèek obecnı (Agrostis capillaris). Bez pøítomnosti invazních a
expanzivních druhù. Stanovištì cílového stavu nedosahuje, pomístnì je degradováno zejm. zárustem a
zmìnou vegetaèního sloení, co je dùsledkem upuštìní od vhodného zpùsobu obhospodaøování.","SDO_3313_2021_0000.pdf"
"CZ0724089","Vlhkomilná vysokobylinná lemová spoleèenstva níin a horského a alpínského","6430",146.577,0.12,"Zachovat rozlohu a zlepšit stav pøedmìtu ochrany na úroveò z doby vyhlášení EVL.
Jedná se o zapojené porosty s dominantním devìtsilem lékaøskım a d. Kablíkové (P. kablikianus) pro biotop
Devìtsilové lemy horskıch potokù, vysokobylinnı porost s dominancí tuebníku jilmového (Filipendula
ulmaria)pro biotop Vlhká tuebníková lada, støednì bohaté zapojené porosty s omìjem pestrım (Aconitum
variegatum) a o. tuhım moravskım (A. firmum s. moravicum) pro biotop Subalpínské vysokobylinné nivy a
s papratkou horskou (Athyrium distentifolium) a kapradí samcem (Dryopteris filix-mas) pro biotop Subalpínské
kapradinové nivy. Bez pøítomnosti invazních a expanzivních druhù rostlin. Stanovištì cílového stavu
nedosahuje, zejména hùøe pøístupné partie jsou dlouhodobì zanedbané a degradované, nìkteré èásti
stanoviš jsou negativnì ovlivòovány provádìním lesnického hospodaøení v jejich blízkosti.","SDO_3313_2021_0000.pdf"
"CZ0724089","Extenzivní seèené louky níin a podhùøí (Arrhenatherion, Brachypodio-","6510",9317.3263,7.74,"Zachovat rozlohu a zlepšit stav pøedmìtu ochrany na úroveò z doby vyhlášení EVL pomocí vhodného
managementu. Jsou to louky níin a pahorkatin s dominantním ovsíkem vyvıšenım nebo podhorské louky,
ve kterıch pøevaují mezofilní trávy nišího vzrùstu, napø. psineèek obecnı, tomka vonná (Anthoxanthum

odoratum), kostøava èervená a trojštìt lutavı (Trisetum flavescens). Bez pøítomnosti invazních a expanzivních
druhù. Stanovištì cílového stavu nedosahuje, pomístnì je degradováno intenzivnìjším vyuíváním
v dostupnıch lokalitách a upuštìním od obhospodaøování v ménì pøístupnıch lokalitách.","SDO_3313_2021_0000.pdf"
"CZ0724089","Petrifikující prameny s tvorbou pìnovcù (Cratoneurion)","7220",0.9379,0,"Zachovat rozlohu a zlepšit stav pøedmìtu ochrany na úroveò z doby vyhlášení EVL pomocí vhodného
managementu. Cílovım stavem pro biotop Luèní pìnovcová prameništì je svìtlomilná vegetace s druhy jako
ostøice rusá (Carex flava agg.) nebo suchopır širolistı (Eriphorum latifolium) a pro biotop Lesní pìnovcová
prameništì porost s dominancí mechového patra s mechy hruboebrec promìnlivı (Cratoneuron
commutatum) èi pobøenice vápnomilná (Pellia endiviifolia). Bez pøítomnosti invazních a expanzivních druhù.
Stanovištì cílového stavu nedosahuje, pomístnì je degradováno upuštìním od obhospodaøování v minulosti,
nebo degradováno okolním prostøedím ve prospìch acidofytù.","SDO_3313_2021_0000.pdf"
"CZ0724089","Zásaditá slatiništì","7230",3.3851,0,"Zachovat rozlohu stanovištì a zlepšit jeho stav oproti stavu pøi zaøazení do EVL. Stav pøedmìtu ochrany pøi
zaøazení do EVL byl chybnì uveden a neodpovídá skuteènosti pøi zaøazení. Skuteènı stav pøi zaøazení byl
„vıznamná hodnota“ a tento stav je tøeba zlepšit. Jedná se o minerotrofní rašeliništì s ostøicovo-mechovou
vegetací a dominujícími šáchorovitımi rostlinami. Ve fyziognomii se uplatòují mokøadní ostøice (napø. Carex
panicea, C. nigra a C. echinata) a suchopıry (Eriophorum spp.). Rašeliníky zcela chybí v dùsledku velkého
mnoství minerálù a iontù ve vodì, která zásobuje slatiništì. Mechové patro je tvoøeno pøevánì zástupci
èeledi Amblystegiaceae. Bez pøítomnosti invazních a expanzivních druhù. V souèasné dobì je stanovištì
degradováno pøedevším zmìnami ve vodním reimu a s tím souvisejícím poklesem hladiny podzemní vody
(umìlé odvodnìní, dlouhotrvající sucha) a upouštìním od tradièního hospodaøení.","SDO_3313_2021_0000.pdf"
"CZ0724089","Chasmofytická vegetace silikátovıch skalnatıch svahù","8220",14.1505,0.01,"Zachovat rozlohu a stav pøedmìtu ochrany jako pøi vyhlášení EVL.Cílovı stav porostù urèují drobné
acidotolerantní kapradiny, napø. sleziníky (Asplenium spp.), puchıøník køehkı, osladiè obecnı i kapradiny
robustnìjší, napø. kapraï samec nebo kapradina laloènatá (Polystichum aculeatum). Bez pøítomnosti
invazních a expanzivních druhù.","SDO_3313_2021_0000.pdf"
"CZ0724089","Jeskynì nepøístupné veøejnosti","8310",0.2469,0,"Cílem je udret rozlohu a stav stanovištì na úrovni v dobì vyhlášení EVL, tzn. jeskynì v dobrém stavu,
uchránìné pøed vnìjšími negativními vlivy (napø. turistika nebo amatérské vstupy).","SDO_3313_2021_0000.pdf"
"CZ0724089","Buèiny asociace Luzulo-Fagetum","9110",11917.7922,9.9,"Zachovat rozlohu jako v dobì pøi vyhlášení EVL a zlepšit stav pøedmìtu ochrany oproti stavu pøi vyhlášení
EVL. Cílovı stav je pøedstavován mozaikou strukturnì bohatıch buèin se zastoupením buku lesního a dalších
døevin pøirozené døevinné skladby. V bylinném patøe pak s druhy jako napøíklad bika bìlavá (Luzula luzuloides)
nebo metlièka køivolaká (Avenella flexuosa). Bez pøítomnosti invazních a expanzivních druhù. V souèasné
dobì je znaèná èást porostù stejnovìkého charakteru.","SDO_3313_2021_0000.pdf"
"CZ0724089","Buèiny asociace Asperulo - Fagetum","9130",8209.7983,6.82,"Udret rozlohu stanovištì z doby vyhlášení a zlepšit stav stanovištì oproti úrovni v dobì vyhlášení, tzn.
vhodnımi opatøeními dosáhnout všestrannì diferencovanıch a strukturnì bohatıch lesù s pøevahou buku
lesního, jedle bìlokoré a dalších døevin pøirozené druhové skladby. V bylinném patøe se vyskytuje kyèelnice
cibulkonosná (Dentaria bulbifera), svízel vonnı (Galium odoratum) nebo napøíklad violka lesní (Viola
reichenbachiana). Porosty jsou typicky bez pøítomnosti expanzivních a invazních druhù. V souèasné dobì se
v EVL vyskytují porosty stejnovìkého charakteru s ustupujícím zastoupením jedle a pøimíšenıch listnatıch
døevin.","SDO_3313_2021_0000.pdf"
"CZ0724089","Støedoevropské subalpínské buèiny s javorem (Acer) a šovíkem horskım","9140",134.5518,0.11,"Zachovat rozlohu a stav PO jako pøi vyhlášení EVL, to znamená zapojené listnaté porosty s dominancí buku
lesního a javoru klenu a s dalšími døevinami pøirozené druhové skladby jako napøíklad s pøímìsí smrku
ztepilého nebo jilmu drsného (Ulmus glabra).
Bylinné patro je bohaté, se zastoupením druhù jako je papratka horská. Bez pøítomnosti invazních a
expanzivních druhù.","SDO_3313_2021_0000.pdf"
"CZ0724089","Dubohabøiny asociace Galio-Carpinetum","9170",902.5965,0.75,"Zachovat rozlohu a stav PO jako v dobì pøi vyhlášení EVL. Cílem jsou všestrannì diferencované a strukturnì
bohaté lesy s pøevahou dubu letního (Quercus robur) a habru obecného (Carpinus betulus), místy s pøímìsí
dalších døevin pøirozené døevinné skladby. V bylinném patøe pak s druhy jako kopytník evropskı (Asarum
europaeum), svízel vonnı nebo jaterník podléška (Hepatica nobilis), bez pøítomnosti expanzivních a invazních
druhù.","SDO_3313_2021_0000.pdf"
"CZ0724089","Lesy svazu Tilio-Acerion na svazích, sutích a v roklích","9180",761.2043,0.63,"Zachovat rozlohu a stav PO jako v dobì pøi vyhlášení EVL.Cílovı stav je pøedstavován pestrou mozaikou
strukturnì bohatıch suovıch lesù s pøevahou javoru klenu, buku lesního, jedle bìlokoré a dalších døevin
pøirozené døevinné skladby. V bylinném patøe pak s druhy jako je napøíklad pitulník horskı (Galeobdolon
montanum), baanka vytrvalá (Mercurialis perennis), mìsíènice vytrvalá (Lunaria rediviva) nebo udatna
dvoudomá (Aruncus vulgaris). Bez pøítomnosti invazních a expanzivních druhù.","SDO_3313_2021_0000.pdf"
"CZ0724089","Smíšené jasanovo-olšové luní lesy temperátní a boreální Evropy (Alno-Padion,","91",268.9612,0.22,"Zachovat rozlohu a stav PO jako pøi vyhlášení EVL. Udret vyhovující vodní pomìry s moností rozlivu vodních
tokù do pravidelnì zaplavovanıch stanoviš. Cílem je zachování charakteru níe poloenıch nivních porostù
s dominantním zastoupením olše lepkavé, vrb (Salix spp.), jasanu ztepilého a s pøímìsí støemchy obecné
(Prunus padus), dubu letního, javoru klenu, s vıraznou vertikální diferenciací a s pøítomností vlhkomilnıch
druhù rostlin jako luucha orlíèkolistá (Thalictrum aquilegiifolium), prvosenka vyšší (Primula elatior), a
blatouch bahenní (Caltha palustris). Na bøezích bystøin a na lesních prameništích v horskıch polohách
zachovávat ojedinìle se vyskytující horské olšiny s olší šedou a menším zastoupením javoru klenu, vrby jívy
(Salix caprea) èi smrku ztepilého. V podrostu se zde vyskytují jak vlhkomilné druhy (napø. Chaerophyllum
hirsutum a Crepis paludosa), tak druhy subalpínské vysokobylinné vegetace (Doronicum austriacum). Bez
pøítomnosti invazních a expanzivních druhù.","SDO_3313_2021_0000.pdf"
"CZ0724089","Acidofilní smrèiny (Vaccinio-Piceetea)","9410",925.1316,0.77,"Zachovat rozlohu a stav PO jako pøi vyhlášení EVL. Cílem jsou prostorovì a vìkovì rozrùznìné porosty s
pøírodì blízkou døevinnou skladbou (etáovitost u skupin s vìtší vımìrou nebo støídání skupin rùzného vìku
s menší vımìrou v rámci porostu), bez expanzivních a invazních druhù. Porosty jsou sloené z druhù døevin,
jako je smrk ztepilı nebo jeøáb ptaèí s pøímìsí dalších døevin pøirozené døevinné skladby. V bylinném patøe
pak se zastoupením druhù jako napø. tøtina chloupkatá (Calamagrostis villosa).

* oznaèuje prioritní stanovištì","SDO_3313_2021_0000.pdf"
